time,linear_x,angular_z
1778486521120731223,0.10999999999999999,0.0
1778486521221492539,0.10999999999999999,0.0
1778486521322224439,0.10999999999999999,0.0
1778486521422874256,0.10999999999999999,0.0
1778486521523669871,0.10999999999999999,0.0
1778486521624315665,0.10999999999999999,0.0
1778486521725053798,0.10999999999999999,0.0
1778486521825741547,0.10999999999999999,0.0
1778486521925996282,0.10999999999999999,0.0
1778486522026235730,0.10999999999999999,0.0
1778486522126493328,0.10999999999999999,0.0
1778486522227431265,0.10999999999999999,0.0
1778486522328128843,0.10999999999999999,0.0
1778486522428700996,0.10999999999999999,0.0
1778486522529621019,0.10999999999999999,0.0
1778486522630184894,0.10999999999999999,0.0
1778486522730790052,0.10999999999999999,0.0
1778486522831479907,0.10999999999999999,0.0
1778486522932120333,0.10999999999999999,0.0
1778486523032746676,0.10999999999999999,0.0
1778486523133507117,0.10999999999999999,0.0
1778486523234172676,0.10999999999999999,0.0
1778486523334884861,0.10999999999999999,0.0
1778486523435611654,0.10999999999999999,0.0
1778486523536466947,0.10999999999999999,0.0
1778486523637195210,0.10999999999999999,0.0
1778486523737784106,0.10999999999999999,0.0
1778486523838454757,0.10999999999999999,0.0
1778486523938659859,0.10999999999999999,0.0
1778486524039505332,0.10999999999999999,0.0
1778486524140156358,0.10999999999999999,0.0
1778486524240873417,0.10999999999999999,0.0
1778486524341778018,0.10999999999999999,0.0
1778486524442512350,0.10999999999999999,0.0
1778486524543145394,0.10999999999999999,0.0
1778486524643701972,0.10999999999999999,0.0
1778486524744696898,0.10999999999999999,0.0
1778486524845352963,0.10999999999999999,0.0
1778486524945978253,0.10999999999999999,0.0
1778486525046109722,0.10999999999999999,0.0
1778486525146362264,0.10999999999999999,0.0
1778486525246594562,0.10999999999999999,0.0
1778486525346833425,0.10999999999999999,0.0
1778486525447179818,0.10999999999999999,0.0
1778486525547408309,0.10999999999999999,0.0
1778486525647672043,0.10999999999999999,0.0
1778486525748043348,0.10999999999999999,0.0
1778486525848869492,0.10999999999999999,0.0
1778486525949557284,0.10999999999999999,0.0
1778486526050131044,0.10999999999999999,0.0
1778486526150612028,0.10999999999999999,0.0
1778486526251408655,0.10999999999999999,0.0
1778486526352037084,0.10999999999999999,0.0
1778486526452768267,0.10999999999999999,0.0
1778486526553436368,0.10999999999999999,0.0
1778486526654166698,0.10999999999999999,0.0
1778486526754673607,0.10999999999999999,0.0
1778486526855568714,0.10999999999999999,0.0
1778486526956199582,0.10999999999999999,0.0
1778486527056905140,0.10999999999999999,0.0
1778486527157580544,0.10999999999999999,0.0
1778486527258413841,0.10999999999999999,0.0
1778486527359005925,0.10999999999999999,0.0
1778486527459640251,0.10999999999999999,0.0
1778486527560304892,0.10999999999999999,0.0
1778486527660968136,0.10999999999999999,0.0
1778486527761536641,0.10999999999999999,0.0
1778486527862177172,0.10999999999999999,0.0
1778486527962519767,0.10999999999999999,0.0
1778486528063154806,0.10999999999999999,0.0
1778486528163421228,0.10999999999999999,0.0
1778486528263801154,0.10999999999999999,0.0
1778486528364452899,0.10999999999999999,0.0
1778486528465245236,0.10999999999999999,0.0
1778486528565977705,0.10999999999999999,0.0
1778486528666697159,0.10999999999999999,0.0
1778486528767353105,0.10999999999999999,0.0
1778486528868284150,0.10999999999999999,0.0
1778486528968983358,0.10999999999999999,0.0
1778486529069885840,0.10999999999999999,0.0
1778486529170637052,0.10999999999999999,0.0
1778486529271487437,0.10999999999999999,0.0
1778486529372239146,0.10999999999999999,0.0
1778486529472949224,0.10999999999999999,0.0
1778486529573599875,0.10999999999999999,0.0
1778486529674356829,0.10999999999999999,0.0
1778486529775145365,0.10999999999999999,0.0
1778486529875803063,0.10999999999999999,0.0
1778486529976503323,0.10999999999999999,0.0
1778486530077239943,0.10999999999999999,0.0
1778486530178153210,0.10999999999999999,0.0
1778486530278768374,0.10999999999999999,0.0
1778486530379514444,0.10999999999999999,0.0
